date,store_nbr,cluster,holiday,High Sales Volume,dcoilwtico,onpromotion,sales,-1_day_sales,-2_day_sales
2013-04-01,1,13,1,0,0.8643580447555941,0.0,0.024940006814374884,0.006685733493670561,0.004528723571080384
2013-04-12,1,13,1,0,0.7909738717339667,0.0,0.02522681672618309,0.024940006814374884,0.006685733493670561
2013-04-29,1,13,1,0,0.8267283410426303,0.0,0.017897355129671482,0.02522681672618309,0.024940006814374884
2013-05-01,1,13,1,0,0.7848481060132515,0.0,0.010197717603992209,0.017897355129671482,0.02522681672618309
2013-05-24,1,13,1,0,0.823602950368796,0.0,0.008145117381499192,0.010197717603992209,0.017897355129671482
2013-06-25,1,13,1,1,0.8412301537692211,0.0,0.0714995937465815,0.008145117381499192,0.010197717603992209
2013-07-03,1,13,1,1,0.9246155769471183,0.0,0.05554735999855683,0.0714995937465815,0.008145117381499192
2013-07-23,1,13,1,0,0.9897487185898235,0.0,0.022810878824106436,0.05554735999855683,0.0714995937465815
2013-07-24,1,13,1,0,0.9682460307538441,0.0,0.023709454095088324,0.022810878824106436,0.05554735999855683
2013-07-25,1,13,1,0,0.9689961245155643,0.0,0.02055074753719165,0.023709454095088324,0.022810878824106436
2013-08-05,1,13,1,0,0.9832479059882484,0.0,0.022598786158246644,0.02055074753719165,0.023709454095088324
2013-08-15,1,13,1,0,0.9934991873984247,0.0,0.01996286362532799,0.022598786158246644,0.02055074753719165
2013-10-07,1,13,1,0,0.9389923740467556,0.0,0.023327186911494473,0.01996286362532799,0.022598786158246644
2013-10-09,1,13,1,0,0.9209901237654705,0.0,0.024767731094703965,0.023327186911494473,0.01996286362532799
2013-10-11,1,13,0,0,0.9277409676209525,0.0,0.016738602473802423,0.024767731094703965,0.023327186911494473
2013-11-06,1,13,1,0,0.834854356794599,0.0,0.02685873431228012,0.016738602473802423,0.024767731094703965
2013-11-07,1,13,1,0,0.828728591073884,0.0,0.02251401760935719,0.02685873431228012,0.016738602473802423
2013-11-11,1,13,1,0,0.8397299662457804,0.0,0.02359645012610071,0.02251401760935719,0.02685873431228012
2013-11-12,1,13,1,0,0.8146018252281535,0.0,0.021072339773719317,0.02359645012610071,0.02251401760935719
2013-12-05,1,13,1,0,0.8648581072634078,0.0,0.023984823668287743,0.021072339773719317,0.02359645012610071
2013-12-06,1,13,1,0,0.8691086385798223,0.0,0.011967093661460577,0.023984823668287743,0.021072339773719317
2013-12-23,1,13,1,1,0.8833604200525065,0.0,0.04761293080486885,0.011967093661460577,0.023984823668287743
2013-12-24,1,13,1,0,0.8864858107263407,0.0,0.03510780188572069,0.04761293080486885,0.011967093661460577
2013-12-26,1,13,1,0,0.8903612951618951,0.0,0.024968557830020874,0.03510780188572069,0.04761293080486885
2013-12-31,1,13,1,0,0.8777347168396048,0.0,0.01844800084317787,0.024968557830020874,0.03510780188572069
2014-03-03,1,13,1,0,0.9673709213651704,0.0,0.011398910594041467,0.01844800084317787,0.024968557830020874
2014-03-04,1,13,1,0,0.9461182647830977,0.0,0.015228561867045931,0.011398910594041467,0.01844800084317787
2014-04-01,1,13,1,0,0.8967370921365168,0.0,0.02870544581297198,0.015228561867045931,0.011398910594041467
2014-04-14,1,13,1,0,0.9512439054881858,0.0,0.023381232649060116,0.02870544581297198,0.015228561867045931
2014-04-21,1,13,1,0,0.9549943742967868,0.0,0.025179404723981343,0.023381232649060116,0.02870544581297198
2014-05-01,1,13,1,0,0.8967370921365168,0.0,0.009736567105589958,0.025179404723981343,0.023381232649060116
2014-05-12,1,13,1,0,0.9117389673709211,0.0,0.02435291812024029,0.009736567105589958,0.025179404723981343
2014-06-12,1,13,1,0,0.9906238279784971,0.0,0.02213631825606086,0.02435291812024029,0.009736567105589958
2014-06-20,1,13,1,0,0.9999999999999998,0.0,0.033690532874163556,0.02213631825606086,0.02435291812024029
2014-06-23,1,13,1,0,0.9859982497812225,0.0,0.02568557222810889,0.033690532874163556,0.02213631825606086
2014-06-25,1,13,1,1,0.9886235779472432,0.0,0.11738294247125146,0.02568557222810889,0.033690532874163556
2014-06-30,1,13,1,0,0.9764970621327662,0.0,0.024197983545407954,0.11738294247125146,0.02568557222810889
2014-07-01,1,13,1,0,0.976372046505813,0.08333333333333333,0.039841078996615556,0.024197983545407954,0.11738294247125146
2014-07-03,1,13,1,1,0.9601200150018752,0.2,0.08039644817366469,0.039841078996615556,0.024197983545407954
2014-07-08,1,13,1,0,0.9513689211151393,0.1,0.03750842925115466,0.08039644817366469,0.039841078996615556
2014-07-09,1,13,1,1,0.9372421552694086,0.15,0.05046642532371782,0.03750842925115466,0.08039644817366469
2014-07-23,1,13,1,1,0.948243530441305,0.16666666666666666,0.04638674659237592,0.05046642532371782,0.03750842925115466
2014-07-24,1,13,1,0,0.9351168896112012,0.06666666666666667,0.03544756540839613,0.04638674659237592,0.05046642532371782
2014-07-25,1,13,1,0,0.9659957494686835,0.15,0.04133598451293852,0.03544756540839613,0.04638674659237592
2014-08-05,1,13,1,0,0.8673584198024751,0.1,0.024468982535527248,0.04133598451293852,0.03544756540839613
2014-08-15,1,13,1,0,0.8668583572946615,0.18333333333333332,0.028202513163209677,0.024468982535527248,0.04133598451293852
2014-10-07,1,13,1,0,0.7617202150268783,0.15,0.0377171251123023,0.028202513163209677,0.024468982535527248
2014-10-09,1,13,1,0,0.7225903237904736,0.15,0.03769424858765772,0.0377171251123023,0.028202513163209677
2014-10-10,1,13,0,0,0.7239654956869608,0.2,0.022008512440622786,0.03769424858765772,0.0377171251123023
2014-11-03,1,13,1,0,0.6352044005500685,0.08333333333333333,0.017827035458527683,0.022008512440622786,0.03769424858765772
2014-11-06,1,13,1,0,0.6239529941242654,0.06666666666666667,0.04001061609439446,0.017827035458527683,0.022008512440622786
2014-11-07,1,13,1,0,0.6344543067883484,0.16666666666666666,0.044064590398880325,0.04001061609439446,0.017827035458527683
2014-11-10,1,13,1,0,0.6184523065383172,0.08333333333333333,0.03788780832022858,0.044064590398880325,0.04001061609439446
2014-11-11,1,13,1,0,0.6237029628703585,0.06666666666666667,0.040129998415506615,0.03788780832022858,0.044064590398880325
2014-11-12,1,13,1,1,0.6150768846105761,0.1,0.05062769880123121,0.040129998415506615,0.03788780832022858
2014-11-28,1,13,1,0,0.47480935116889594,0.16666666666666666,0.041777182936229854,0.05062769880123121,0.040129998415506615
2014-12-01,1,13,1,1,0.5128141017627204,0.1,0.04562615716953607,0.041777182936229854,0.05062769880123121
2014-12-05,1,13,1,1,0.4741842730341292,0.18333333333333332,0.045571700327243655,0.04562615716953607,0.041777182936229854
2014-12-08,1,13,1,0,0.43967995999499926,0.06666666666666667,0.044252614751645186,0.045571700327243655,0.04562615716953607
2014-12-22,1,13,1,1,0.3411676459557444,0.16666666666666666,0.11569007964755303,0.044252614751645186,0.045571700327243655
2014-12-23,1,13,1,1,0.3602950368796099,0.16666666666666666,0.056315610918577515,0.11569007964755303,0.044252614751645186
2014-12-24,1,13,1,1,0.34679334916864607,0.2,0.053384143536549904,0.056315610918577515,0.11569007964755303
2014-12-26,1,13,1,1,0.33291661457682203,0.3,0.08131811175051404,0.053384143536549904,0.056315610918577515
2014-12-31,1,13,1,0,0.318664833104138,0.15,0.04455177026297569,0.08131811175051404,0.053384143536549904
2015-01-02,1,13,1,0,0.309538692336542,0.2,0.01921191647698891,0.04455177026297569,0.08131811175051404
2015-02-17,1,13,1,0,0.32004000500062507,0.11666666666666667,0.006713572862119064,0.01921191647698891,0.04455177026297569
2015-03-02,1,13,1,0,0.2704088011001375,0.08333333333333333,0.028377764201433477,0.006713572862119064,0.01921191647698891
2015-04-01,1,13,1,0,0.277034629328666,0.15,0.033737614746811986,0.028377764201433477,0.006713572862119064
2015-04-14,1,13,1,0,0.3167895986998374,0.05,0.02347580957537024,0.033737614746811986,0.028377764201433477
2015-04-21,1,13,1,0,0.34529316164520557,0.11666666666666667,0.0294918580109983,0.02347580957537024,0.033737614746811986
2015-05-01,1,13,1,0,0.3892986623327916,0.2,0.010323022532342394,0.0294918580109983,0.02347580957537024
2015-05-12,1,13,1,0,0.4095511938992373,0.11666666666666667,0.0295586791393915,0.010323022532342394,0.0294918580109983
2015-06-23,1,13,1,0,0.41367670958869845,0.2,0.041901104019628536,0.0295586791393915,0.010323022532342394
2015-06-25,1,13,1,1,0.3954244280535067,0.4,0.1169570628897488,0.041901104019628536,0.0295586791393915
2015-07-23,1,13,1,0,0.25190648831103885,0.08333333333333333,0.03776720929522809,0.1169570628897488,0.041901104019628536
2015-07-24,1,13,1,0,0.250281285160645,0.21666666666666667,0.04524660784496925,0.03776720929522809,0.1169570628897488
2015-08-05,1,13,1,1,0.2146518314789348,0.18333333333333332,0.05660549373440405,0.04524660784496925,0.03776720929522809
2015-08-10,1,13,1,0,0.21227653456682077,0.11666666666666667,0.012830268247636696,0.05660549373440405,0.04524660784496925
2015-08-24,1,13,1,0,0.1282660332541567,0.11666666666666667,0.04176465877606866,0.012830268247636696,0.05660549373440405
2015-09-28,1,13,1,0,0.2055256907113388,0.11666666666666667,0.04357109031868239,0.04176465877606866,0.012830268247636696
2015-10-07,1,13,1,1,0.24878109763720463,0.18333333333333332,0.05326844454768675,0.04357109031868239,0.04176465877606866
2015-10-09,1,13,1,0,0.27140892611576445,0.2,0.021416725110141244,0.05326844454768675,0.04357109031868239
2015-11-02,1,13,1,0,0.22702837854731833,0.05,0.01172233581825728,0.021416725110141244,0.05326844454768675
